date,headline,sentiment
2026-04-16,"GraniteShares Announces Weekly Distributions for its YieldBOOST ETFs: COYY, TSYY, NVYY, XBTY, AMYY, TQQY, AZYY, YSPY, MTYY, PLYY, HOYY, SMYY, BBYY, FBYY, IOYY, MAAY, NUGY, SEMY, QBY, RGYY, HMYY, RTYY, MUYY, TMYY and CWY",0.0
2026-04-16,Taiwan Semiconductor CEO just dropped a hint about the next move in AI stocks,0.0
2026-04-16,3 amazing ASX ETFs that are beginner-friendly,0.5859
2026-04-15,Uber Stock Just Broke Above Its 50-Day Moving Average. Should You Chase the Rally?,-0.4703
2026-04-15,ASML Earnings Show AI’s Real Engine Is Still Hardware,0.0
2026-04-15,AI's Cash Splash Continues: Meta Platforms and Broadcom Expand Custom Chip Partnership,0.3182
2026-04-15,A Tectonic Shift in AI Is Underway and AMD Stock Is No Longer a ‘Discount’ Competitor to Nvidia. It’s a Bet on the Future.,-0.296
2026-04-15,"Long Elon, short Jensen: A research firm says retail traders are flocking back to Tesla and pivoting from Nvidia",0.0
2026-04-15,"As Michael Burry Adds to His Nvidia Puts, Should You Buy, Sell, or Hold NVDA Stock?",0.0
2026-04-15,"$2,600 for Sandisk Stock? Why the Bull Case at Evercore Forecasts a Whopping 191% Upside Potential.",0.0
2026-04-15,NVIDIA Stock Climbs 1.7% on AI Supercomputer Ramp as Blackwell Demand Fuels 2026 Growth Bets,0.2732
2026-04-15,LLMs Are Proving That It Is Impossible to Automate Away the Human Experience,0.0
2026-04-15,3 ASX ETFs to buy and hold for the next decade,0.0
2026-04-15,VOO vs. QQQ vs. SPY — Which ETF Is the Best Buy Right Now?,0.6369
2026-04-15,Nvidia Expands AI Push With Quantum Models - Yahoo Finance,0.1027
2026-04-14,Stocks Rally on a Push for Diplomacy to End US-Iran War,-0.5994
2026-04-14,"Up 716% Over the Past Year, How Much Higher Can IREN Stock Go?",0.0
2026-04-14,D-Wave CEO says Nvidia should be 'shaking in their boots' as quantum computing battles AI GPUs,-0.5106
2026-04-14,Jim Cramer Shares Biggest Confusion For NVIDIA (NVDA) Stock,0.0
2026-04-14,The Semiconductor Sector Is Hitting All-Time Highs: 2 Stocks Leading the Charge,0.0
2026-04-14,Why Google’s TPU Talks Just Made Marvell Technology a Must-Buy AI Stock,0.0
2026-04-14,NVIDIA Drops F-Bomb In Response To PC Maker Buyout Rumor,0.0
2026-04-14,"This AI Stock Might Be the Biggest Winner in 2026, And It Is Not Nvidia",0.5859
2026-04-14,10 Best AI Stocks to Buy in 2026 as Artificial Intelligence Spending Accelerates,0.8074
2026-04-14,NVIDIA Corporation (NVDA) Partners with Google on Gemma 4 to Enhance Agentic AI Capabilities,0.0
2026-04-14,3 fantastic ASX ETFs to buy this month,0.5574
2026-04-13,A $21 Billion Reason to Buy CoreWeave Stock Now,0.0
2026-04-13,"KeyBanc Taps INTC, AMD Stocks as Top Buys on CPU Demand. Should You Load Up Now?",0.0772
2026-04-13,Michael Burry Is Buying Alibaba Stock. Should You?,0.0
2026-04-13,sibyl-research added to PyPI,0.0
2026-04-13,These tech stocks have been sizzling hot with the Iran conflict raging,-0.6908
2026-04-13,meow-meow-hood added to PyPI,0.0
2026-04-12,Magnificent 7 stocks are splitting again: Chart of the Day,0.5994
2026-04-12,Wall Street strategists say it's time to 'jump in' with tech stocks amid Iran ceasefire,0.0
2026-04-12,"How AI Agents See Your Website (And How To Build For Them) via @sejournal, @slobodanmanic",0.0
2026-04-12,Russell 2000 Tracking for New Highs: What’s Next for ETF Traders?,0.0
2026-04-12,NVIDIA Stock 2026: Buy or Sell NVDA as AI Demand and Blackwell Ramp Fuel Strong Buy Consensus,0.4215
2026-04-11,‘Big Short’ Michael Burry sends signal on Nvidia stock,0.0
2026-04-11,"Cadence (CDNS), Nvidia (NVDA) Expand Agentic AI Collaboration",0.3182
2026-04-11,"While the Stock Market Was Rallying, Palantir Stock Sold Off. Should You Buy the Dip in PLTR?",0.0
2026-04-10,Mantle’s xStocks Rollout Pushes Tokenized Equities Closer to Real Onchain Liquidity,0.0
2026-04-10,Stocks Settle Mixed Awaiting US-Iran Peace Talks,0.5423
2026-04-10,Nvidia vs. AMD: Which Stock Will Outperform The Market In 2026,0.0
2026-04-10,These 3 Unusually Active Mag 7 Calls Are Great Hail Mary Bets for Under $100,0.8122
2026-04-10,NVIDIA Corporation (NVDA): Israel Englander Is Long-Term Admirer of This AI Powerhouse,0.4215
2026-04-10,"Anthropic and CoreWeave sign AI agreement, as chip deals explode",0.4939
2026-04-10,5 Things to Know Before the Stock Market Opens,0.0
2026-04-10,"T-Mobile (TMUS), Nvidia (NVDA) Integrate AI Applications on AI-RAN Infrastructure",0.0
2026-04-10,Nvidia’s stock is quietly gaining steam — it’s on its longest winning streak since 2023 - MarketWatch,0.7351
2026-04-09,"Stock market today: Stocks mixed as Nasdaq rises, Dow falls after March CPI data shows surging energy costs",0.2732
2026-04-09,"As Amazon Takes on Chipmakers, Should You Buy AMZN Stock Here?",0.1779
2026-04-09,Is Nvidia (NVDA) The Best AI Stock Pick of Billionaire Ken Fisher?,0.6369
2026-04-09,"Billionaire Steve Cohen Pours $892,422,000 Into Four Stocks After Dumping Walmart, PayPal and Confluent",-0.3182
2026-04-09,Are Intel Investors Tired of Winning Yet? Chipmaker Bags Another Big Score,0.128
2026-04-09,Wedbush Is Bullish on Magnificent 7 Amid the 2-Week Ceasefire. Nvidia Is the Top-Rated Stock to Buy Now.,0.5994
2026-04-09,"Amazon CEO Jassy says company could sell AI chips, raising stakes for Nvidia, AMD",0.1779
2026-04-09,Tech Stocks Are Experiencing Historic 50-Year Weakness. Should You Buy the Dip in This 1 ETF?,-0.4215
2026-04-09,AI Powerhouse Firmus Rockets to $5.5 Billion Valuation with Nvidia (NVDA) Backing,0.0258
2026-04-09,The $21 billion AI bet: Meta and CoreWeave ink deal for NVIDIA’s next-gen superchips,0.0
2026-04-09,3 charts reveal Big Tech's biggest problem this earnings season,-0.4019
2026-04-09,"3 top ASX ETFs to buy with $30,000 this month",0.2023
2026-04-08,"Morgan Stanley Just Downgraded Arm Stock on Chipmaking Pivot. Why, and Should You Sell ARM Now?",0.0
2026-04-08,NVIDIA (NVDA) Among the Hedge Fund Favorites with Strong Setup in 2026,0.7269
2026-04-08,Stocks Soar as US and Iran Agree to a Ceasefire,0.3612
2026-04-08,Why Mizuho Just Slashed Its Price Target on Super Micro Stock by 25%,0.4588
2026-04-08,Is Nvidia stock still the safest AI bet in 2026? Why is Nvidia (NVDA) stock surging 3.5% in today’s premarket — and what’s next for NVDA shares?,0.644
2026-04-08,thesma-mcp added to PyPI,0.0
2026-04-08,"Where to invest $1,000 in ASX ETFs for beginners in April",0.0
2026-04-08,webull-openapi-mcp added to PyPI,0.0
2026-04-07,15 stocks to put on your list to buy when the market recovers,0.0
2026-04-07,The dividend yield on the S&P 500 is now at 50-year lows. Here's the biggest problem.,-0.5423
2026-04-07,Lebenthal: NVDA and Micron account for nearly all S&P tech earnings growth,0.3818
2026-04-07,"Nvidia’s (NVDA) Deal With Competitor Marvell (MRVL) Only Strengthens Its Own Ecosystem, Here’s How",0.4588
2026-04-07,yfinance-market-mcp added to PyPI,0.0
2026-04-07,"A generational buying opportunity has opened up for U.S. tech stocks, says Goldman Sachs",0.4215
2026-04-07,Valuation in a time of AI,0.0
2026-04-07,Bank of America resets Apple stock forecast,0.0
2026-04-07,Stock Index Futures Slip as Trump’s Hormuz Deadline Looms,-0.1531
2026-04-07,Can a $25B Investment Surge Sustain Micron’s 20% AI Memory Grab?,0.0
2026-04-07,Accessibility statement for GLASS (gangmaster’s licence service),0.0
2026-04-07,Web Accessibility Checklist 2026: WCAG 2.2 Compliance Guide,0.0
2026-04-06,3 exciting ASX ETFs for growth investors,0.7003
2026-04-06,finlet added to PyPI,0.0
2026-04-06,"US stock market today: US stocks rise as Dow, S&P 500 and Nasdaq stay in green, while Nvidia and Tesla stocks continue to slip",0.0
2026-04-06,Consumer hardware trade in danger as Iran war triggers memory chip pricing explosion,-0.8074
2026-04-06,"As Iran Threatens Attacks on Nvidia, Should You Actually Sell NVDA Stock?",-0.6705
2026-04-06,Is NVIDIA (NVDA) Still The Best AI Stock to Buy in 2026?,0.6369
2026-04-06,"Big Tech's second quarter just started, and it's already facing major challenges",0.1513
2026-04-06,NVIDIA、オープン エージェント開発プラットフォームでナレッジ ワークにおける次の産業革命を牽引,0.0
2026-04-05,The invisible layer of UX most designers ignore,-0.4173
2026-04-05,"Why now is the perfect time to load up on the AI stocks in the Magnificent 7, according to one investment strategist",0.8225
2026-04-04,rozkoduj-mcp added to PyPI,0.0
2026-04-04,5-Star Analyst Raises Nvidia Stock (NVDA) Forecast as Demand for ‘Hopper and Blackwell AI-Chips Likely to Outstrip Supply’,-0.128
2026-04-03,NVIDIA Corporation (NVDA): Billionaire Steve Cohen Has a Long-Term Bet on This Stock,0.0
2026-04-03,Nvidia Still Looks Cheap - Shorting Out-of-the-Money NVDA Put Options Is Attractive,0.4404
2026-04-03,strata-market added to PyPI,0.0
2026-04-03,Nvidia Corporation (NVDA) Sets Sights on Every Layer of AI Factory With NVIDIA Physical AI Data Factory Blueprint,0.0
2026-04-03,NIO Is Standing Out Among Chinese EV Peers This Year: Is the Stock Still a Buy?,0.0
2026-04-03,PYTH Price Jumps 9% as Polymarket Expands Into Stocks With Pyth Data,0.1027
